CODIGOS POSTALES
----------------

PROVINCIA;POBLACION;CODIGOPOSTAL
ALAVA;ELBURGO/BURGELU;01192
ALAVA;ELCIEGO;01340
ALAVA;ELGEA;01206
ALAVA;ELORRIAGA;01192
ALAVA;ELORTZA;01129
ALAVA;ELOSU;01170
ALAVA;ERBI;01477
ALAVA;ERDO—ANA;01208
ALAVA;ERENCHUN;01193
ALAVA;ERENTXUN;01193
ALAVA;ERIBE;01138
ALAVA;ERRETANA;01510
ALAVA;ERRIBERA BEITIA;01213
ALAVA;ERRIBERA GOITI;01420
ALAVA;ERROETA;01117
ALAVA;ERROITEGI;01117
ALAVA;ESCANZANA;01211
ALAVA;ESKIBEL;01194
ALAVA;ESKUERNAGA;01307
ALAVA;ESPEJO;01423
ALAVA;ESTARRONA;01191
ALAVA;ESTAVILLO;01220
ALAVA;ETURA;01206
ALAVA;ETXABARRI-IBI—A;01196
ALAVA;ETXABARRI-KUARTANGO;01439
ALAVA;ETXABARRI-URTUPIANA;01206
ALAVA;ETXAGEN (ZIGOITIA);01138
ALAVA;ETXAGUEN;01169
ALAVA;ETXEGOIEN;01470
ALAVA;EZKERECOTXA;01206
ALAVA;FAIDO;01216
ALAVA;FAIDU;01216
ALAVA;FONTECHA;01423
ALAVA;FONTETXA;01423
ALAVA;FORONDA;01196
ALAVA;FRESNEDA;01426
ALAVA;GACETA;01192
ALAVA;GALARRETA;01208
ALAVA;GAMARRA GUTXIA;01510
ALAVA;GAMARRA MAYOR;01013
ALAVA;GAMARRA MENOR;01510
ALAVA;GAMARRA NAGUSIA;01013
ALAVA;GAMIZ;01194
ALAVA;GANZAGA;01169
ALAVA;GARDELEGI;01194
ALAVA;GAUNA;01193
ALAVA;GAZEO;01206
ALAVA;GAZETA;01240
ALAVA;GAZTELU;01194
ALAVA;GERE—A;01196
ALAVA;GERE—U;01207
ALAVA;GEVARA;01206
ALAVA;GILARTE;01439
ALAVA;GILIERNA;01130
ALAVA;GOBEO;01191
ALAVA;GOIAIN;01170
ALAVA;GOIURI-ONDONA;01449
ALAVA;GOMETXA;01195
ALAVA;GOPEGI;01138
ALAVA;GORDELIZ;01478
ALAVA;GORDOA;01208
ALAVA;GUERE—U;01207
ALAVA;GUILLERNA/GILIERNA;01139
ALAVA;GUINEA;01428
ALAVA;GURENDES;01427
ALAVA;HARANA;01117
ALAVA;HEREDIA;01206
ALAVA;HERE—A;01420
ALAVA;HERMUA;01208
ALAVA;HIJONA;01193
ALAVA;HUETO ABAJO;01191
ALAVA;HUETO ARRIBA;01191
ALAVA;IBARGUREN;01260
ALAVA;IBARRA;01160
ALAVA;IBISATE;01129
ALAVA;IGAI;01213
ALAVA;ILARDUIA;01260
ALAVA;ILARRATZA;01192
ALAVA;INOSO;01450
ALAVA;INURRIETA;01439
ALAVA;IRABAIEN;01409
ALAVA;IRU—A DE OCA;01230
ALAVA;IRU—A OKA;01230
ALAVA;IRURAIZ-GAUNA;01240
ALAVA;IURRE;01196
ALAVA;IXONA;01193
ALAVA;IZARRA;01440
ALAVA;IZARTZA;01194
ALAVA;IZORIA;01479
ALAVA;JANDIOLA;01409
ALAVA;JAUREGI;01207
ALAVA;JAUREGUI;01207
ALAVA;JOKANO;01439
ALAVA;JUGO;01139
ALAVA;JUNGITU;01192
ALAVA;KAICEDO BEHEKOA;01213
ALAVA;KANPEZU;01110
ALAVA;KATADIANO;01439
ALAVA;KEXAA;01477
ALAVA;KOMUNIONI;01213
ALAVA;KONTRASTA;01117
ALAVA;KORRES;01129
ALAVA;KRIPAN;01308
ALAVA;KRISPI—ANA;01195
ALAVA;KUARTANGO;01439
ALAVA;LA PUEBLA DE LABARCA;01306
ALAVA;LABASTIDA;01330
ALAVA;LABRAZA;01322
ALAVA;LACERVILLA;01220
ALAVA;LACORZANA;01211
ALAVA;LACORZANILLA;01211
ALAVA;LAGRAN;01118
ALAVA;LAGUARDIA;01300
ALAVA;LAHOZ;01427
ALAVA;LALASTRA;01427
ALAVA;LANCIEGO;01308
ALAVA;LANDA;01520
ALAVA;LANGARA GANBOA;01520
ALAVA;LANGARIKA;01206
ALAVA;LANGRAIZ OKA;01230
ALAVA;LANTARON;01213
ALAVA;LANTZIEGO;01308
ALAVA;LAPUEBLA DE LABARKA;01306
ALAVA;LARRAZKETA;01449
ALAVA;LARREA;01208
ALAVA;LARRINBE;01468
ALAVA;LARRINOA;01138
ALAVA;LASARTE;01194
ALAVA;LASERNA;01321
ALAVA;LASIERRA;01428
ALAVA;LECI—ANA DE LA OCA;01220
ALAVA;LECI—ANA DEL CAMINO;01213
ALAVA;LEGARDA;01196
ALAVA;LEGUTIANO;01170
ALAVA;LEJARZO;01477
ALAVA;LEKAMA—A;01450
ALAVA;LEORZA;01129
ALAVA;LERMANDA;01195
ALAVA;LETONA;01138
ALAVA;LEZA;01309
ALAVA;LEZAMA;01450
ALAVA;LEZI—ANA;01213
ALAVA;LLANTENO;01478
ALAVA;LLODIO;01400
ALAVA;LOPIDANA;01196
ALAVA;LOZA;01212
ALAVA;LUBIANO;01192
ALAVA;LUIAONDO;01408
ALAVA;LUJO;01477
ALAVA;LUKIANO;01139
ALAVA;LUKO;01510
ALAVA;LUNA;01439
ALAVA;LUXO;01477
ALAVA;LUZURIAGA;01208
ALAVA;MADARIA;01479
ALAVA;MAEZTU;01120
ALAVA;MANDAITA;01428
ALAVA;MANDOIANA;01196
ALAVA;MA—UETA;01307
ALAVA;MANURGA;01138
ALAVA;MANZANOS;01220
ALAVA;MARGARITA;01195
ALAVA;MARIETA LARRINTZAR;01206
ALAVA;MARINDA;01439
ALAVA;MARKINA;01139
ALAVA;MARKINEZ;01216
ALAVA;MARO—O;01479
ALAVA;MARTIODA;01191
ALAVA;MATAUKO;01192
ALAVA;MATURA;01206
ALAVA;MELLEDES;01213
ALAVA;MENAGARAI;01477
ALAVA;MENDAROZKETA;01196
ALAVA;MENDIBIL;01520
ALAVA;MENDIETA;01478
ALAVA;MENDIGUREN;01196
ALAVA;MENDIOLA;01194
ALAVA;MENDIXUR;01206
ALAVA;MENDOZA;01191
ALAVA;MENOIO;01477
ALAVA;MEZKIA;01207
ALAVA;MIJANCAS;01211
ALAVA;MI—ANO GOIEN;01510
ALAVA;MI—ANO GUTXIA;01510
ALAVA;MI—ANO MAYOR;01510
ALAVA;MI—ANO MENOR;01510
ALAVA;MIOMA;01427
ALAVA;MOLINILLA;01213
ALAVA;MONASTERIOGUREN;01194
ALAVA;MONTEVITE;01428
ALAVA;MONTORIA;01212
ALAVA;MOREDA DE ALAVA;01322
ALAVA;MORETA;01322
ALAVA;MORILLAS;01428
ALAVA;MUNAIN;01207
ALAVA;MURGA;01479
ALAVA;MURGIA;01130
ALAVA;MURUA;01138
ALAVA;MUSITU;01129
ALAVA;NAFARRETE;01118
ALAVA;NANCLARES DE GANBOA;01520
ALAVA;NANCLARES DE OCA;01230
ALAVA;NARVAXA;01208
ALAVA;NAVARIDAS;01309
ALAVA;NOGRARO;01426
ALAVA;NUVILLA;01428
ALAVA;OCEKA;01477
ALAVA;OCIO;01212
ALAVA;OIARDO;01449
ALAVA;OION;01320
ALAVA;OKARIZ;01207
ALAVA;OKINA;01194
ALAVA;OKOITZA;01138
ALAVA;OKONDO;01409
ALAVA;OKONDOGOIENA;01409
ALAVA;OKONDOJENA;01409
ALAVA;OLABARRI;01428
ALAVA;OLABEZAR;01479
ALAVA;OLAETA;01165
ALAVA;OLANO;01138
ALAVA;OLLAVARRE;01428
ALAVA;ONDATEGI;01138
ALAVA;ONRAITA;01129
ALAVA;OPAKUA;01207
ALAVA;ORBISO;01117
ALAVA;ORDO—ANA;01208
ALAVA;OREITIA;01192
ALAVA;ORMIJANA;01428
ALAVA;OSMA;01426
ALAVA;OTAZU;01194
ALAVA;OTEO;01117
ALAVA;OTO BARREN;01191
ALAVA;OTO GOIEN;01191
ALAVA;OYON;01320
ALAVA;OZETA;01206
ALAVA;PAGANOS;01309
ALAVA;PAGOETA;01211
ALAVA;PAUL;01420
ALAVA;PAYUETA;01211
ALAVA;PE—ACERRADA;01212
ALAVA;PINEDO;01427
ALAVA;PIPAON;01118
ALAVA;POBES;01420
ALAVA;PORTILLA;01212
ALAVA;PUENTELARRA;01423
ALAVA;QUEJANA;01477
ALAVA;QUEJO;01427
ALAVA;QUINTANA;01128
ALAVA;QUINTANILLA;01427
ALAVA;QUINTANILLA DE LA RIBERA;01213
ALAVA;RESPALDIZA;01476
ALAVA;RETES DE LLANTENO;01477
ALAVA;RETES DE TUDELA;01478
ALAVA;RIBABELLOSA;01213
ALAVA;RIBAGUDA;01220
ALAVA;RIBERA;01427
ALAVA;RIBERA ALTA;01420
ALAVA;RIBERA BAJA;01213
ALAVA;ROITEGUI;01129
ALAVA;SABANDO;01129
ALAVA;SALCEDO;01213
ALAVA;SALINAS DE A—ANA;01426
ALAVA;SALINILLAS DE BURADON;01212
ALAVA;SALMANTON;01479
ALAVA;SALVATIERRA;01200
ALAVA;SAMANIEGO;01307
ALAVA;SAN MIGUEL;01213
ALAVA;SAN MILLAN;01208
ALAVA;SAN ROMAN;01409
ALAVA;SAN ROMAN DE CAMPEZO;01128
ALAVA;SAN ROMAN DE SAN MILLAN;01207
ALAVA;SAN VICENTE DE ARANA;01117
ALAVA;SANTA COLOMA;01478
ALAVA;SANTA CRUZ DE CAMPEZO;01110
ALAVA;SANTA CRUZ DEL FIERRO;01212
ALAVA;SANTA EULALIA;01439
ALAVA;SANTURDE;01211
ALAVA;SARATSU;01213
ALAVA;SARATXO;01468
ALAVA;SARRIA;01139
ALAVA;SENDADIANO;01439
ALAVA;SOBRON;01423
ALAVA;SOJO;01478
ALAVA;SOJOGUTI;01478
ALAVA;SUBIJANA DE ALAVA;01195
ALAVA;SUBIJANA-MORILLAS;01428
ALAVA;SUBI—ANA-GAZTEIZ;01195
ALAVA;TERTANGA;01468
ALAVA;TOBERA;01211
ALAVA;TOBILLAS;01427
ALAVA;TORTURA;01439
ALAVA;TRASPONTE;01191
ALAVA;TRESPUENTES;01191
ALAVA;TROKONIZ;01193
ALAVA;TUESTA;01423
ALAVA;TURISO;01213
ALAVA;TUYO;01428
ALAVA;TXINTXETRU;01207
ALAVA;UGALDE;01409
ALAVA;ULLIBARRI DE LOS OLLEROS;01194
ALAVA;ULLIBARRI VI—A;01191
ALAVA;ULLIBARRI-ARANA;01117
ALAVA;ULLIVARRI JAUREGI;01207
ALAVA;UNTZILLA;01169
ALAVA;UNZA;01449
ALAVA;URABAIN;01260
ALAVA;URARTE;01216
ALAVA;URBINA;01510
ALAVA;URBINA BASABE;01439
ALAVA;URBINA EZA;01439
ALAVA;URIBARRI;01169
ALAVA;URIBARRI ARRAZUA;01520
ALAVA;URIBARRI GANBOA;01520
ALAVA;URIBARRI HARANA;01117
ALAVA;URIBARRI KUARTANGO;01439
ALAVA;URIBARRI NAGUSIA;01194
ALAVA;URIBARRI-DIBI—A;01191
ALAVA;URIBARRI-JAUREGI;01207
ALAVA;URIZAHARRA;01211
ALAVA;URKABUSTAIZ;01440
ALAVA;URRUNAGA;01170
ALAVA;URTURI;01118
ALAVA;UZKIANO;01449
ALAVA;VALDEGOVIA;01426
ALAVA;VALLE DE ARANA;01117
ALAVA;VALLUERCA;01427
ALAVA;VICU—A;01207
ALAVA;VILLABEZANA;01213
ALAVA;VILLABUENA DE ALAVA;01307
ALAVA;VILLACHICA;01409
ALAVA;VILLAFRANCA;01193
ALAVA;VILLAFRIA;01427
ALAVA;VILLALUENGA;01428
ALAVA;VILLAMADERNE;01423
ALAVA;VILLAMANCA;01439
ALAVA;VILLAMARDONES;01427
ALAVA;VILLAMBROSA;01423
ALAVA;VILLANA—E;01426
ALAVA;VILLANUEVA DE VALDEGOVIA;01426
ALAVA;VILLAR, EL;01309
ALAVA;VILLAVERDE;01118
ALAVA;VILLODAS;01195
ALAVA;VILORIA;01426
ALAVA;VI—ASPRE;01308
ALAVA;VIRGALA MAYOR;01129
ALAVA;VIRGALA MENOR;01129
ALAVA;VITORIA-GASTEIZ;01001
ALAVA;VITORIA-GASTEIZ;01002
ALAVA;VITORIA-GASTEIZ;01003
ALAVA;VITORIA-GASTEIZ;01004
ALAVA;VITORIA-GASTEIZ;01005
ALAVA;VITORIA-GASTEIZ;01006
ALAVA;VITORIA-GASTEIZ;01007
ALAVA;VITORIA-GASTEIZ;01008
ALAVA;VITORIA-GASTEIZ;01009
ALAVA;VITORIA-GASTEIZ;01010
ALAVA;VITORIA-GASTEIZ;01012
ALAVA;VITORIA-GASTEIZ;01013
ALAVA;VITORIA-GASTEIZ;01015
ALAVA;VITORIA-GASTEIZ;01070
ALAVA;VITORIA-GASTEIZ;01071
ALAVA;VITORIA-GASTEIZ;01080
ALAVA;YECORA;01322
ALAVA;ZAITEGI;01138
ALAVA;ZALDUONDO;01208
ALAVA;ZAMBRANA;01212
ALAVA;ZARATE;01139
ALAVA;ZEKUIANO;01117
ALAVA;ZERIO;01192
ALAVA;ZESTAFE;01138
ALAVA;ZIGOITIA;01138
ALAVA;ZIORRAGA;01450
ALAVA;ZIRIANO;01510
ALAVA;ZUAZA;01477
ALAVA;ZUAZO DE SAN MILLAN;01208
ALAVA;ZUAZO DE VITORIA;01195
ALAVA;ZUBILARRA;01423
ALAVA;ZUBILLAGA;01213
ALAVA;ZUDIBIARTE;01409
ALAVA;ZUHATZU;01195
ALAVA;ZUHATZU DONEMILIAGA;01208
ALAVA;ZUHATZU-KUARTANGO;01430
ALAVA;ZUIA;01139
ALAVA;ZUMELTZU;01195
ALAVA;ZUMELZU;01195
ALAVA;ZURBANO;01520
ALBACETE;ABEJUELA;02439
ALBACETE;ABENGIBRE;02250
ALBACETE;ABUZADERAS, LAS;02511
ALBACETE;AGRA;02409
ALBACETE;AGRAMON;02490
ALBACETE;AGUAS NUEVAS;02049
ALBACETE;ALATOZ;02152
ALBACETE;ALBACETE;02001
ALBACETE;ALBACETE;02002
ALBACETE;ALBACETE;02003
ALBACETE;ALBACETE;02004
ALBACETE;ALBACETE;02005
ALBACETE;ALBACETE;02006
ALBACETE;ALBACETE;02007
ALBACETE;ALBACETE;02049
ALBACETE;ALBACETE;02070
ALBACETE;ALBACETE;02071
ALBACETE;ALBACETE;02080
ALBACETE;ALBATANA;02653
ALBACETE;ALBOREA;02215
ALBACETE;ALCADOZO;02124
ALBACETE;ALCALA DEL JUCAR;02210
ALBACETE;ALCANTARILLA;02489
ALBACETE;ALCARAZ;02300
ALBACETE;ALCOZAREJOS;02249
ALBACETE;ALEJOS, LOS;02448
ALBACETE;ALFERA, LA;02448
ALBACETE;ALJUBE;02512
ALBACETE;ALMANSA;02640
ALBACETE;ALPERA;02690
ALBACETE;ANGUIJES, LOS;02140
ALBACETE;ANIMAS, LAS;02448
ALBACETE;ANORIAS, LAS;02512
ALBACETE;ARGAMASON;02328
ALBACETE;ARGUELLITE;02484
ALBACETE;ARROYOFRIO;02462
ALBACETE;ARTEAGA;02137
ALBACETE;AYNA;02125
ALBACETE;BALAZOTE;02320
ALBACETE;BALLESTERO, EL;02614
ALBACETE;BALSA DE VES;02214
ALBACETE;BARRAX;02639
ALBACETE;BATAN DEL PUERTO;02137
ALBACETE;BEG;02536
ALBACETE;BELLOTAR;02460
ALBACETE;BERRO;02329
ALBACETE;BIENSERVIDA;02360
ALBACETE;BOGARRA;02130
ALBACETE;BONETE;02691
ALBACETE;BONILLO, EL;02610
ALBACETE;BORMATE;02249
ALBACETE;BURRUECO;02329
ALBACETE;CALZADA DE VERGARA;02249
ALBACETE;CAMPILLO;02462
ALBACETE;CAMPILLO DE LA VIRGEN;02129
ALBACETE;CAMPILLO DE LAS DOBLAS;02511
ALBACETE;CAMPOALBILLO;02251
ALBACETE;CA—ADA DE AGRA;02409
ALBACETE;CA—ADA DE BUENDIA;02437
ALBACETE;CA—ADA DE MOROTE;02449
ALBACETE;CA—ADA DEL PROVENCIO;02448
ALBACETE;CA—ADA JUNCOSA;02326
ALBACETE;CA—ADAS;02534
ALBACETE;CA—ADAS DE HACHES ABAJO;02139
ALBACETE;CA—ADAS DE HACHES ARRIBA;02139
ALBACETE;CANALEJA;02312
ALBACETE;CA—AR, EL;02437
ALBACETE;CANCARIX;02499
ALBACETE;CANTOBLANCO;02214
ALBACETE;CARCELEN;02153
ALBACETE;CASA BLANCA DE LOS RIOTEROS;02512
ALBACETE;CASA CA—ETE;02127
ALBACETE;CASA DE LA CABEZA;02536
ALBACETE;CASA DE LA NOGUERA;02459
ALBACETE;CASA DE LAS MONJAS;02512
ALBACETE;CASA ROSA;02137
ALBACETE;CASABLANCA;02124
ALBACETE;CASAS DE ABAJO;02326
ALBACETE;CASAS DE HACHES, LAS;02139
ALBACETE;CASAS DE JUAN GIL;02153
ALBACETE;CASAS DE JUAN NU—EZ;02151
ALBACETE;CASAS DE LAZARO;02329
ALBACETE;CASAS DE VES;02212
ALBACETE;CASAS DEL CERRO;02211
ALBACETE;CASAS IBA—EZ;02200
ALBACETE;CASASOLA;02124
ALBACETE;CASICA DEL MADRO—O;02327
ALBACETE;CATALMEREJOS, LOS;02137
ALBACETE;CAUDETE;02660
ALBACETE;CENIZATE;02247
ALBACETE;CHINCHILLA DE MONTE ARAGON;02520
ALBACETE;CHORRETITES DE ABAJO;02536
ALBACETE;CHOSPES, LOS;02340
ALBACETE;CILANCO;02215
ALBACETE;CILLERUELO;02314
ALBACETE;COLLADOS, LOS;02449
ALBACETE;CORDOVILLA;02513
ALBACETE;CORRAL RUBIO;02693
ALBACETE;CORTIJO DE TORTAS;02137
ALBACETE;CORTIJOS DEL CURA;02459
ALBACETE;CORTIJOS DEL HERRERO;02536
ALBACETE;COTILLAS;02461
ALBACETE;CUARTICO, EL;02162
ALBACETE;CUBILLO;02340
ALBACETE;CUCHARAL;02329
ALBACETE;DEHESA DEL VAL;02139
ALBACETE;DEHESA, LA (AYNA);02139
ALBACETE;ELCHE DE LA SIERRA;02430
ALBACETE;ERAS, LAS;02214
ALBACETE;FELIPA, LA;02156
ALBACETE;FEREZ;02436
ALBACETE;FONTANAR DE LAS VI—AS;02129
ALBACETE;FUENLABRADA;02329
ALBACETE;FUENSANTA;02637
ALBACETE;FUENSANTA, LA;02129
ALBACETE;FUENTE CARRASCA;02449
ALBACETE;FUENTE DEL PINO;02129
ALBACETE;FUENTE HIGUERA;02449
ALBACETE;FUENTEALAMO;02651
ALBACETE;FUENTEALBILLA;02260
ALBACETE;GALLEGO;02439
ALBACETE;GILA, LA;02211
ALBACETE;GINETA, LA;02110
ALBACETE;GINETE, EL (AYNA);02125
ALBACETE;GOLLIZO, EL;02459
ALBACETE;GOLOSALVO;02253
ALBACETE;GONTAR;02489
ALBACETE;GRAJUELA, LA;02110
ALBACETE;GRIEGO, EL;02139
ALBACETE;HELLIN;02400
ALBACETE;HERRERA, LA;02162
ALBACETE;HERRERIA, LA;02124
ALBACETE;HIGUERA, LA;02693
ALBACETE;HIGUERUELA;02694
ALBACETE;HORCA, LA;02499
ALBACETE;HORCAJO, EL;02314
ALBACETE;HORNA;02529
ALBACETE;HORNO CIEGO;02486
ALBACETE;HOYA GONZALO;02696
ALBACETE;HOYAS, LAS;02449
ALBACETE;HOZ, LA;02314
ALBACETE;ISSO;02420
ALBACETE;ITUERO;02314
ALBACETE;JARDIN, EL;02340
ALBACETE;JORQUERA;02248
ALBACETE;JUAN QUILEZ;02487
ALBACETE;JUTIA;02534
ALBACETE;LAMINADOR, EL;02459
ALBACETE;LETUR;02434
ALBACETE;LEZUZA;02160
ALBACETE;LIETOR;02410
ALBACETE;LUGAR NUEVO, EL;02459
ALBACETE;MADRIGUERAS;02230
ALBACETE;MAHORA;02240
ALBACETE;MALDONADO;02249
ALBACETE;MARDOS, LOS;02512
ALBACETE;MARIMINGUEZ;02252
ALBACETE;MASEGOSO;02314
ALBACETE;MESONES;02449
ALBACETE;MESTA DE ALCARAZ, LA;02312
ALBACETE;MESTA DE CORTIJADAS;02359
ALBACETE;MINAS, LAS;02499
ALBACETE;MINATEDA;02499
ALBACETE;MINAYA;02620
ALBACETE;MINGOGIL;02409
ALBACETE;MOHEDAS, LAS;02139
ALBACETE;MOLATA, LA;02129
ALBACETE;MOLINAR, EL;02129
ALBACETE;MOLINICOS;02440
ALBACETE;MONTALVOS;02638
ALBACETE;MONTEALEGRE DEL CASTILLO;02650
ALBACETE;MORA DE SANTA QUITERIA;02513
ALBACETE;MORISCOTE;02139
ALBACETE;MOTILLEJA;02220
ALBACETE;MULLIDAR;02142
ALBACETE;MUNERA;02612
ALBACETE;NAVA CAMPA—A;02409
ALBACETE;NAVA DE ABAJO;02142
ALBACETE;NAVA DE ARRIBA;02142
ALBACETE;NAVALENGUA;02329
ALBACETE;NAVAS DE JORQUERA;02246
ALBACETE;NAVAZUELA, LA;02124
ALBACETE;NERPIO;02530
ALBACETE;NOGUERA, LA;02124
ALBACETE;NOGUERON, EL;02459
ALBACETE;OLMOS, LOS;02437
ALBACETE;ONCEBREROS (LA HERRERA);02162
ALBACETE;ONTUR;02652
ALBACETE;OSSA DE MONTIEL;02611
ALBACETE;PARDAL, EL;02449
ALBACETE;PARED, LA;02213
ALBACETE;PAROLIS;02489
ALBACETE;PATERNA DE MADERA;02136
ALBACETE;PAULES;02489
ALBACETE;PEDRO ANDRES;02534
ALBACETE;PE—ARRUBIA;02486
ALBACETE;PE—ARRUBIA DE MASEGOSO;02314
ALBACETE;PE—AS DE SAN PEDRO;02120
ALBACETE;PE—ASCOSA;02313
ALBACETE;PESEBRE;02314
ALBACETE;PETROLA;02692
ALBACETE;PINILLA;02512
ALBACETE;PINILLA (VEGALLERA);02448
ALBACETE;POCICOS, LOS;02129
ALBACETE;POTICHE;02139
ALBACETE;POVEDILLA;02311
ALBACETE;POZO BUENO;02510
ALBACETE;POZO CA—ADA;02510
ALBACETE;POZO LORENTE;02154
ALBACETE;POZOHONDO;02141
ALBACETE;POZUELO;02327
ALBACETE;PUERTO DEL PINO;02449
ALBACETE;QUEJIGAL;02448
ALBACETE;RALA;02486
ALBACETE;RECUEJA, LA;02249
ALBACETE;REOLID;02316
